neighborhood,neighborhood.lowercase,topic,topic.lowercase,we need more,so i will,city wide
cully,cully,employment,employment,support for those making minimum wage. more jobs that can support a life instead of only basic needs,work and be conscious of change. ,
,,employment,employment,"jobs that pay wages one can live on, not just get by.",support the local businesses who already do!,
,,employment,employment,"more living wage jobs. these jobs need even distribution across all socio-economic strata, ",make some of them!,
,,employment,employment,fair wages and hiring with small businesses,"volunteer with is now and advocate for small, local business ",
,,employment,employment,creative products manufactured in nw by and for portlanders,participate as a media professional in my community and design products to make.,
,,employment,employment,rent control business close from rent not labor,lobby,
,,employment,employment,jobs that pay living wages,continue to support wage increase advocacy groups.,
,,employment,employment,information tech workers with cs degrees. ,bring them in from other areas,
,,employment,employment,jobs for educated individuals and less overqualified employees in minimum wage jobs.,support businesses with great missions!,
,,employment,employment,a collective work space for freelancers to gather - more community.,talk it up,
beaverton,beaverton,employment,employment,jobs that are easier for vegan and raw vegan eaters that are on trimet.,work on promoting all companies that are vegan and raw vegan to expand also to washington county.,
,,employment,employment,entry level positions in janitorial,do my part to support the effort,
hillsdale,hillsdale,education,education,maintenance for our school grounds,volunteer & clean up,
hillsdale,hillsdale,education,education,social + educational programs to support immigrant + refugee families in the neighborhood,learn more of what's available currently and ... look into volunteer opportunities with families or neighborhood house + stephen's creek crossing,
cully,cully,education,education,resources for youth who are college-driven but my lack the mentorship / knowledge needed to define their success,"attend more meetings for diverse education, donate to orgs that give individualized support",
sunnyside,sunnyside,education,education,Forign chalange to come to america tree's cattle,write a preisedent,
sunnyside,sunnyside,education,education,alternative education opportunities,help promote the support of the sunnyside community center,
sunnyside,sunnyside,education,education,code school (programming),help the new comm. center become one (Methodist Church),
buckman,buckman,education,education,empathy -> desire to know + understand anothers point of view -- especially when we disagree,lead an article club/current events group in a order to contextualize what I read more widely,
lloyd,lloyd,education,education,alternative learning opportunities - college isn't always the answer,continue to engage & promote arts + industry as equal to intellectual institutions,
lloyd,lloyd,education,education,funding for arts in the public school system,vote for measures that help / donate money towards programs,
lloyd,lloyd,education,education,Education that allow children to go through the process of how to be an adult and what hardships they go through. to prepare children for the adult life that they will grow into.,"continue to be an advocate of peparing children ur conversing about the aches of an adult life. bills full-time jobs, friendships, social anxianties, bullying and to be able to find yourself as a person (sexually, mentally & spirit)",
milwaukie,milwaukie,education,education,affordable examimation fees for students,help those that can't afford the fees,
milwaukie,milwaukie,education,education,emphasis on how each child learns & less on how they test. stop getting rid of music & PE! Pay teachers more & Appreciate,,
milwaukie,milwaukie,education,education,gym space in schools for more PE time,,
milwaukie,milwaukie,education,education,"flexible & forward thinking frameworks that support all stakeholders in (teacher, parents, admin youth) their interrelated success","crosspollinate, learn, design, collaborate & connect",
milwaukie,milwaukie,education,education,"enriching after school spaces say ... ""maker space"" or ""tech shop""",,
South Waterfront,south waterfront,education,education,Free schooling for any age/grade,Continue to expand my knowledge,
South Waterfront,south waterfront,education,education,New equipment/newer schools :),Try and come up with ideas that are needed for a new school,
Brooklyn,brooklyn,education,education,Advocates standing up to this issue. Really and truly free education because paying back those loans while trying to aquire is absurd.,Keep spreading and educating folks on why free education is the way to go.,
Gateway,gateway,education,education,Funding equity in all neighborhoods,Volunteer in schools in impoverished areas.,
Richmond,richmond,education,education,"Teachers!! They're essential to the future, they need more $$ and respect!!",Donate money to the Oregon School Fund! (Thanks Oregon Kicker),
King,king,education,education,Dynamic public art about relevant civic and social issues,Connect/collaborate with awesome folks to create and share with the community,
King,king,education,education,Help people of color,,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,education,education,Education about population growth and lessening the people on the planet. Free sex ed at all age levels and easy access to contraception.,Keep putting out the word. ,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,education,education,Better supplies and teachers and curriculum,Provide school with supplies from home.,
Chinatown,chinatown,education,education,public school funding for art and music,vote for more legislation that supports art and music,
Chinatown,chinatown,education,education,education resources for aspiring shaman,leave this city to speak to the spirits on the mountain,
Chinatown,chinatown,education,education,"homeless litterbug clean-up crew! ... finish that beer and start sweeping right where you stand ... 3 hrs clean-up crew (on the spot) and there will be no recorded change. or say ""no"" or get rude and we can put these cuffs on ya now and off to jail. ... your choice. What'll it be? Love, Hobo Art","The Make it legal ""loophole law"" downtown drug stop equals clean up crew. When a cop makes a ""low quantity"" drug stop, the perp has two choices :  a) regular (or double) jail for current infraction, ... or ... b) 3 hours 'clean up crew' right then on the spot! (run by community service personnel and clean and safe jointly. Make the litterbugs do it!!!",
Woodlawn,woodlawn,education,education,racial and socioeconomic equality in our schools,become a school social worker and advocate for education reform,
Woodlawn,woodlawn,education,education,high school graduates! improve Oregon's drop-out rate. One of the worst in the USA.,,
Concordia,concordia,education,education,education of adults as well as children,"renew my volunteer work at my neighborhood school, and offer at least one article about it to my neighborhood paper",
Beaumont,beaumont,education,education,"fostering of creativity, wildness and nature",volunteer with kids and foster those ideas,
Foster-Powell,foster-powell,education,education,practical education in schools (mortgages / taxes and applying for types of aid / loans),volunteer to help teach these life skills ,
Foster-Powell,foster-powell,education,education,Choices for change,vote for sarah iannarone for mayor,
Foster-Powell,foster-powell,education,education,environmental education in public schools,teach - become an educator! (se flavel / springwater corridor),
Foster-Powell,foster-powell,education,education,job readiness programs,pay high school kids money to mow my grass,
Foster-Powell,foster-powell,education,education,day care,,
Foster-Powell,foster-powell,education,education,investment in great teachers and role models,vote yes on any bonding measure i can,
Foster-Powell,foster-powell,education,education,early intervention and preservation through an investment in education throughout the life course - it will solve all other issues,support my neighborhood schools and programs,
Foster-Powell,foster-powell,education,education,qualify public schools in SE 52nd ^,continue to support the community in order to build infrastructure,
Foster-Powell,foster-powell,education,education,free tutoring for kids of all ages,there should be numbers to call for every day any time to set up an appointment,
Mt. Tabor,mt. tabor,education,education,arts / theater / design in schools,volunteer my time,
Mt. Tabor,mt. tabor,education,education,sex positive education in schools,donate to planned parenthood and volunteer,
Lents,lents,education,education,Ability to transfer our students to schools of our choice (as parents),"continue to apply for transfer to better school. and keep up on appeals process. fight, fight, fight!",
Lents,lents,education,education,"support, funding and resources for our teachers and schools",help the teachers oft-squelched voices be heard,
Lents,lents,education,education,sustainable ideas environmental solutions,continue to design rain collecting systems and aquaponic systems,
Gresham,gresham,education,education,Classes on how to manage money,,
Gresham,gresham,education,education,Poverty does not equal lower rights to education,,
Ladd,ladd,education,education,street art,start making my own,
Hollywood,hollywood,education,education,Comprehensive sexuality education k-12!,feel like our kids are prepared to become sex positive adults,
Downtown,downtown,education,education,Robots teaching children,"teach others that the future requires AI, not love",all neighborhoods
Downtown,downtown,education,education,alternatives to standardized testing,vote,all neighborhoods
Downtown,downtown,education,education,affordable education :) (college),be an active member of the student union to help students,
Downtown,downtown,education,education,addressing racism in schools,ask for and support restorative justice in schools,
Downtown,downtown,education,education,less political influence in schools. let the kids figure it out.,advise students to not believe every word their teachers say.,
Downtown,downtown,education,education,development projects that help pay towards schools for the people who live there,ask the mayor again. write my state representatives again. write a note here.,
Downtown,downtown,education,education,"smoking kills 300,000 people annually. awareness, more funding, action, and eventual banning","continue to be an ambassador within my community, and pursue any avenues toward prohibition and compensation for those harmed",
Downtown,downtown,education,education,Money for schools (spend better),pay my taxes and look for volunteer opportunities,
Downtown,downtown,education,education,cultural education - specifically on the middle east,work with portland state and professors to help inform the portland community islamophobia is hate,
Downtown,downtown,education,education,less people like james depriest in schools :),"exposed, exposing changing how sick this town is!",
Downtown,downtown,education,education,less schools that hire child molesters :),am making it happen :),
Downtown,downtown,education,education,money for public education,,
Beaverton,beaverton,Education,education,support for young girls in education and art,,
Beaverton,beaverton,Education,education,we need more support for our kids,,
Beaverton,beaverton,Education,education,Schools need to be better today's youth or we will be doomed to failure,,
Beaverton,beaverton,Education,education,smaller size classrooms my grandson is being just passed through school. sad for all,pay more taxes or change where they go,
Beaverton,beaverton,Education,education,"funding for schools. schools in beaverton have large class sizes, low-income families, ELL students, students with special needs, and TAG students who need more teachers, staff and support in the classrooms and schools","vote and talk about it with others. i have volunteered, subbed, and been a parent in this district for 8 years. maybe funds from the tax on pot can be used. maybe, the state/city can increase its spending in this area another way",
arbor lodge,arbor lodge,Education,education,High quality education complete with art and exercise outside. equity with wealthy neighborhoods,,
,,Education,education,community engagement in early childhood education strategies,participate and contribute to community education outreach events,
,,Education,education,diverse and desegregated schools in Portland Public Schools,work to push for schools that are for all!,
,,Education,education,"education as a whole, for education spreads diversity and opens minds presenting opportunity for progress and equality in every area",share my knowledge in my particular area of expertise and encourage others to do the same,
,,Education,education,invest in the teachers! so that ... the investment will be in the children and their education - they are our future!,"reap the benefits for a strong, innovative confident and democratic society",
,,Education,education,funding for science and physical education,support bills that will fund these things,
,,Education,education,school buildings,vote for city council candidate committed to building schools and improving education,
,,Education,education,pay for teachers $$$,say it out loud!,
,,Education,education,"nicer students, and less racist teachers",be a nicer student and be an equal person,
,,Education,education,outdoor school support  money (donate!),donate and promote outdoor school,
,,Education,education,teachers counselors parents to help identify the need and barriers for education,partner with child advocates to provide the appropriate help. (e.g. new shoes and clothes for school!),
,,Education,education,fewer overcrowded public schools!,support legislation to expand Portland Public Schools,
,,Education,education,sleep as youth. all school should open at 9:00am or 10:00am,not be late to class everyday.,
,,Education,education,followers voting for inventive and thoughtful people,make a move to show you how #portlandinc,
downtown,downtown,education,education,"grants, funds, especially for adults (parents)",,
downtown,downtown,education,education,teachers,pay more taxes,
downtown,downtown,education,education,"high school kids graduating and getting more ""cte"" classes",lobby for re-investment in oregon high schools,
downtown,downtown,education,education,money for teachers,be willing to pay more tax,
downtown,downtown,education,education,masterminds,start some! share what I learn from doing it,
downtown,downtown,education,education,educational campaigns focused on how consume resources (food and stuff) more sustainably ,"bring up the issue of sustainable consumption with Portlands's ""be resourceful"" staff",
downtown,downtown,education,education,education in soft-goods manufacturing...,,
downtown,downtown,education,education,there needs to be more creativity in elementary through high school,stop going to Wal-Mart,
downtown,downtown,education,education,equity; women and minorities in stem,share stories of lesser known scientists with my students,
downtown,downtown,education,education,financial assitance and support from the U.S. government to provide future generations to be able to comfortably and happily survive :),,
downtown,downtown,education,education,making community college cheaper (pcc) for non-oregon high school graduates! ($90 a credit? really?),let pcc know personally.,
downtown,downtown,education,education,schools who encourage kids and stop bullying.,help encourage the kids in my life.,
downtown,downtown,education,education,passion and individualism ,pass along my enthusiasm!,x (all)
downtown,downtown,education,education,tools and services to help designers communicate better,recommend Adobe xd :),
downtown,downtown,education,education,lowering college debt.,finding ways to help students work (off) debt and volunteer,
downtown,downtown,education,education,human touch,learn lomi lomi massage-,x (general)
downtown,downtown,education,education,funding and programming,"pay attention, vote accordingly and support our neighborhood.",
woodlawn,woodlawn,education,education,outdoor educations- right? more pay for teaches better supplies for schools,sign up for a free trial of audible.com and unsubscribe after not using it for 3 months,
downtown,downtown,education,education,teachers that care about the kids,start to tutor in schools,
downtown,downtown,education,education,education that embraces visual learning styles.,support and volunteer my time to schools.,
downtown,downtown,education,education,education in our schools!,work for more funding and better pay for teachers oppose privitazation of our public schools!!,
downtown,downtown,education,education,"integrity, kindness, and conscious sensibility and sustainable development ","cultivate that in me, set an example and teach younger generations to do the same",
downtown,downtown,education,education,idea of how to make a skill into a stable job,keep open as many windows as i can,
downtown,downtown,education,education,"now that we have the art tax, we should be informed about where it's spent",keep voting for better educational programs. support the educational growth of our children,
downtown,downtown,education,education,improvement in school buidlings and put money ($) there ,pay more taxes ,
downtown,downtown,education,education,support funding to promote children's dreams (performance),"use my voice, to build/to shape/to shine miss. downtown portland usa",
downtown,downtown,education,education,awareness for networking and being ready after college.,motivate my teachers and mates to do the same!,
downtown,downtown,education,education,,promote family values teach old testament standards ,
downtown,downtown,education,education,too many great minds are going to waste,endeavor to speak out,
downtown,downtown,education,education,seismic safety education and action ,advocate for budget and politicans to say and do more*,
downtown,downtown,education,education,"critical thinking, logic, reason, and emotional intelligence #misantrhoptimist.",promote.,
kenton,kenton,education,education,education about how cool our neighborhoods. if people understand the history about paul bunyan in kenton maybe he wouldn't be in terrible disrepair!,donate to the repair paul bunyan fund and advocate for the return of babe the blue ox!,
kenton,kenton,education,education,equitable course offerings and supports for students at our schools with highest levels of poverty. ,"continue to raise my voice through union, district and school based opportunities in portland public schools",
kenton,kenton,education,education,better and equal funding for all north portland schools,,
,,education,education,agricultural independence in li schools,volunteer at chavez's community garden more! *finish school to help*,
,,education,education,schools! we need more schools to accomdate all the kids who are moving here. we need equity in school quality across pdx.,pay all taxes and fees needed to pay for new schools and better school,
goose hollow,goose hollow,education,education,art in schools (pps!),vote for sarah,
goose hollow,goose hollow,education,education,updated drug awareness,vote for sarah ,
,,education,education,opportunities for low income and marginalized students ,advocate ffor more student / educational resources -> be more vocal!!,
,,education,education,quality education for everyone,"support my local public schools, and work for affordable / free college!",
,,education,education,outdoor school for k12!,"vote, yes!",
,,education,education,investment in our teachers - pay  them well so good instructors will come,volunteer and contribute as best i can,
,,education,education,scholarship and grant opportunities - free education to all!!,"keep paying $14,000 for massage school till we decide to change!",
,,education,education,availability of education for homeless and underprivileged members of portland.,find more avenues of education and present them to homeless and underprivileged.,
